City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
234,Lasa,IT,63.48,46.6166,10.7002,broken clouds,Pension Feldgärtenhof
236,Ilabaya,PE,76.44,-17.4208,-70.5133,clear sky,
239,Souillac,MU,73.78,-20.5167,57.5167,scattered clouds,Shanti Maurice Resort & Spa
241,Fos-Sur-Mer,FR,70.36,43.4377,4.9446,overcast clouds,Ariane Hotel
245,Fare,PF,78.6,-16.7,-151.0167,overcast clouds,Maitai Lapita Village Huahine
249,Kahului,US,78.84,20.8947,-156.47,clear sky,Maui Seaside Hotel
251,Columbia,US,68.16,34.0007,-81.0348,overcast clouds,Hampton Inn Columbia-Downtown Historic District
256,Birjand,IR,63.07,32.8663,59.2211,clear sky,Birjand Tourist Hotel
258,Awbari,LY,71.28,26.5921,12.7805,clear sky,استراحة الشارب العائلي
260,Sterling,US,64.4,39.0062,-77.4286,broken clouds,Hampton Inn & Suites Washington-Dulles International Airport
261,Ravar,IR,70.23,31.2656,56.8055,broken clouds,computertik
262,Payakumbuh,ID,70.18,-0.2202,100.6308,overcast clouds,Dalimo Homestay
263,Praia Da Vitoria,PT,67.75,38.7333,-27.0667,scattered clouds,Hotel Branco I
264,Balabac,PH,77.85,7.9868,117.0645,moderate rain,Batalla’s Lodging House
268,Ibra,OM,76.05,22.6906,58.5334,scattered clouds,مزرعة راحة النفوس المنزفة
270,Bani Walid,LY,70.41,31.7566,13.9942,few clouds,مركزGLC للطلاء
273,Lardos,GR,69.94,36.0942,28.0157,clear sky,Lindos Princess Beach Hotel
282,Trelew,AR,67.06,-43.249,-65.3051,clear sky,Hotel Touring Club
284,Katsuura,JP,61.34,35.1333,140.3,overcast clouds,Katsuura Hotel Mikazuki
289,Inongo,CD,72.72,-1.95,18.2667,light rain,Hotel Du Lac
295,Safaga,EG,77.94,26.7292,33.9365,clear sky,Lamar Resort Abu Soma
296,Teknaf,BD,77.18,20.8624,92.3058,clear sky,Forestry Guesthouse
298,Dumas,US,61.61,35.8656,-101.9732,clear sky,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
299,Buala,SB,79.41,-8.145,159.5921,scattered clouds,Maringe Lagoon Lodge
300,Bengkulu,ID,75.97,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
310,Srandakan,ID,76.14,-7.9386,110.2506,overcast clouds,Puri Brata
311,Kawalu,ID,71.19,-7.3817,108.2082,overcast clouds,West Jontor
312,Kuliyapitiya,LK,78.48,7.4688,80.0401,moderate rain,Rest House
319,Bogalusa,US,74.75,30.791,-89.8487,clear sky,Traveler's Rest Motel
321,Mount Isa,AU,76.77,-20.7333,139.5,light rain,ibis Styles Mt Isa Verona
325,Kasempa,ZM,73.92,-13.4584,25.8338,broken clouds,Lolelunga Forest Reserve
328,Porto Santo,PT,73.78,33.072,-16.3415,few clouds,Hotel Porto Santo & Spa
331,Piombino,IT,70.57,42.9348,10.5221,broken clouds,Hotel Ariston
333,Poum,NC,77.23,-20.2333,164.0167,scattered clouds,
335,Guerrero Negro,MX,70.38,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
338,Rawson,AR,61.14,-43.3002,-65.1023,clear sky,Hosteria Sampedro
340,Ambilobe,MG,77.72,-13.2,49.05,overcast clouds,Hôtel & Restaurant DIANA Ambilobe
348,Broome,US,60.19,42.2506,-75.833,broken clouds,Chenango Valley State Park
351,Arona,ES,74.98,28.0996,-16.681,clear sky,Paradise Court
353,Marmaris,TR,70.11,36.855,28.2742,clear sky,BLUE BAY PLATINUM HOTEL
356,Laguna,US,63.09,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
362,Tiznit,MA,79.81,29.5833,-9.5,few clouds,
372,Saint-Pierre,RE,74.88,-21.3393,55.4781,scattered clouds,Alize Plage
377,Manggar,ID,79.66,-2.8833,108.2667,overcast clouds,Guest Hotel
378,Djambala,CG,72.9,-2.5447,14.7533,moderate rain,Hotel Ravin D'or
382,Lata,PT,62.82,40.1629,-8.3327,overcast clouds,Casa Maquia
386,Dispur,IN,73.35,26.1425,91.7889,scattered clouds,Novotel Guwahati GS Road Hotel
390,Dickinson,US,76.15,29.4608,-95.0513,clear sky,Hampton Inn & Suites Houston/League City
391,Kununurra,AU,78.78,-15.7667,128.7333,clear sky,Hotel Kununurra
399,Westport,US,65.55,41.1415,-73.3579,broken clouds,The Westport Inn
401,Ruteng,ID,64.11,-8.6136,120.4721,overcast clouds,Hotel FX 72
404,Chauk,MM,77.7,20.8833,94.8167,clear sky,Bo Khin Guest House
409,Macia,MZ,70.39,-25.0269,33.0989,light rain,Hotel Taskin Macia
410,Palu,ID,75.85,-0.8917,119.8707,overcast clouds,Hotel Santika Palu
411,Karratha,AU,73.2,-20.7377,116.8463,clear sky,ibis Styles Karratha
412,Micheweni,TZ,77.74,-4.9667,39.8333,overcast clouds,
413,Mwingi,KE,74.32,-0.9344,38.0601,overcast clouds,Thorn Tree by The Address
415,Batemans Bay,AU,65.1,-35.7167,150.1833,broken clouds,Batemans Bay Marina Resort
418,Ulladulla,AU,68.9,-35.35,150.4667,light rain,Sandpiper Motel
420,Sikeston,US,62.64,36.8767,-89.5879,overcast clouds,Drury Inn & Suites Sikeston
421,Agar,IN,67.91,23.7,76.0167,clear sky,Bherav Mandir
423,Tabuk,PH,74.82,17.4189,121.4443,overcast clouds,Golden Berries Hotel and Convention
424,Matara,LK,77.23,5.9485,80.5353,light rain,Amaloh Boutique Resort
425,Santa Fe,AR,66.02,-31.6333,-60.7,clear sky,Conquistador Hotel
427,Ghanzi,BW,77.83,-21.5667,21.7833,light rain,Ghanzi Farmhouse
429,Coquimbo,CL,62.33,-29.9533,-71.3436,clear sky,Hotel San Juan
432,Henderson,US,67.24,36.0397,-114.9819,clear sky,Hawthorn Suites By Wyndham Las Vegas/Henderson
434,Galle,LK,79.2,6.0367,80.217,broken clouds,Amangalla
436,Vila Franca Do Campo,PT,64.81,37.7167,-25.4333,overcast clouds,Pestana Bahia Praia
437,Ribeira Grande,PT,66.78,38.5167,-28.7,few clouds,Quinta da Meia Eira
438,Quatre Cocos,MU,74.08,-20.2078,57.7625,scattered clouds,Sunrise Attitude Hotel
439,Methoni,GR,68.22,36.8197,21.7049,clear sky,Methoni Beach Hotel
442,Loreto,MX,68.99,22.2667,-101.9667,clear sky,José de Jesús Velásquez mora
445,Bogo,PH,79.81,11.0517,124.0055,broken clouds,Acrige Apartelle
449,Port Hedland,AU,66.25,-20.3167,118.5667,clear sky,The Esplanade Hotel
450,Gushikawa,JP,74.43,26.3544,127.8686,light rain,Kirari Guest House
454,Piqua,US,64.09,40.1448,-84.2424,overcast clouds,Baymont by Wyndham Piqua
458,Cam Ranh,VN,75.16,11.9214,109.1591,few clouds,OYO 598 Peony Hotel
460,Skala,PL,60.62,50.2305,19.8536,clear sky,Jurajska 47
464,Melk,AT,61.2,48.2274,15.3319,few clouds,Wachauerhof
465,Concepcion Del Oro,MX,63.41,24.6333,-101.4167,clear sky,Hotel Hacienda San Javier
468,Idil,TR,60.73,37.3411,41.8895,clear sky,İdil Öğretmen Evi Ve Aso Müdürlüğü
470,Doume,CM,72.55,4.2333,13.45,light rain,Hotel Universel
471,Porecatu,BR,79.61,-22.7558,-51.3792,overcast clouds,Hotel Central
475,Dharmadam,IN,79.02,11.7833,75.4333,moderate rain,Samudra Homes
476,Taunggyi,MM,60.22,20.7833,97.0333,scattered clouds,True Treasure Hotel
477,Antsohihy,MG,78.13,-14.8796,47.9875,few clouds,Hotel de Ville
