City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
93,Vila Velha,-20.3297,-40.2925,84.15,few clouds,81,20,16.11,BR
94,Bethel,41.3712,-73.414,64.44,clear sky,64,0,6.91,US
95,Cabedelo,-6.9811,-34.8339,86.67,broken clouds,64,66,12.28,BR
96,Lompoc,34.6391,-120.4579,48.09,scattered clouds,100,40,3.44,US
97,Soe,-9.8607,124.284,68.18,overcast clouds,95,100,0.69,ID
98,Nizwa,22.9333,57.5333,79.23,few clouds,42,23,1.5,OM
99,San Cristobal,7.7669,-72.225,77.18,scattered clouds,47,28,4.83,VE
100,Hobart,-42.8794,147.3294,49.86,overcast clouds,70,96,12.66,AU
101,Clyde River,70.4692,-68.5914,10.63,broken clouds,72,75,8.05,CA
102,Norman Wells,65.282,-126.8329,5.04,light snow,85,100,17.27,CA
103,Geraldton,-28.7667,114.6,55.81,clear sky,71,0,11.5,AU
104,Saint George,37.1041,-113.5841,53.8,clear sky,40,0,4.61,US
105,Bredasdorp,-34.5322,20.0403,59.94,scattered clouds,61,44,17.25,ZA
106,Xingyi,24.1877,102.817,47.91,clear sky,95,3,3.38,CN
107,Astoria,46.1879,-123.8313,54.91,mist,96,100,9.22,US
108,Sambava,-14.2667,50.1667,72.66,light rain,86,3,8.48,MG
109,Bayevo,53.2833,80.7667,26.91,overcast clouds,90,97,5.75,RU
110,Hovd,48.0056,91.6419,25.88,broken clouds,55,62,1.59,MN
111,Mitsamiouli,-11.3847,43.2844,77.58,few clouds,75,15,12.88,KM
112,Northam,51.0333,-4.2167,58.24,light rain,88,100,16.04,GB
113,Mount Gambier,-37.8333,140.7667,40.8,moderate rain,96,100,4.68,AU
114,Te Anau,-45.4167,167.7167,46.85,scattered clouds,93,46,2.64,NZ
115,Angoram,-4.0625,144.0661,74.41,few clouds,98,21,0.85,PG
116,Lebu,-37.6167,-73.65,57.9,clear sky,59,0,21.23,CL
117,Mecca,21.4267,39.8261,83.5,few clouds,56,21,8.21,SA
118,Porto Belo,-27.1578,-48.5531,73.35,broken clouds,77,77,19.62,BR
119,Victoria,22.2855,114.1577,78.33,overcast clouds,51,99,23.0,HK
120,Half Moon Bay,37.4636,-122.4286,57.6,mist,92,100,8.05,US
121,Manica,49.0,-1.1667,59.7,light rain,82,100,13.73,FR
122,Honiara,-9.4333,159.95,77.43,clear sky,87,5,2.62,SB
123,Mackay,-21.15,149.2,80.69,clear sky,86,2,16.37,AU
124,Puerto Madero,14.7208,-92.4215,82.69,scattered clouds,69,32,3.65,MX
125,Dingle,10.9995,122.6711,76.14,overcast clouds,89,90,7.14,PH
126,Harper,4.375,-7.7169,80.6,overcast clouds,77,85,7.49,LR
127,Sao Felix Do Xingu,-6.6447,-51.995,93.18,broken clouds,42,83,3.24,BR
128,Gat,31.61,34.7642,74.08,clear sky,100,4,7.63,IL
129,Burnie,-41.0667,145.9167,45.95,light rain,76,92,9.75,AU
130,Yantal,56.8471,105.2542,17.01,broken clouds,74,74,1.61,RU
131,Georgetown,5.4112,100.3354,79.9,scattered clouds,93,40,0.0,MY
132,Cocobeach,1.0002,9.5823,80.22,light rain,82,81,8.59,GA
133,Brae,60.3964,-1.353,53.49,overcast clouds,89,89,23.11,GB
134,Balikpapan,-1.2675,116.8289,83.39,scattered clouds,79,40,6.91,ID
135,Grindavik,63.8424,-22.4338,46.35,broken clouds,87,75,17.27,IS
136,Castro,-24.7911,-50.0119,65.05,overcast clouds,92,100,4.45,BR
137,Kiruna,67.8557,20.2251,25.72,clear sky,93,0,2.3,SE
138,Thompson,55.7435,-97.8558,35.76,broken clouds,93,75,6.91,CA
139,Cherskiy,68.75,161.3,-7.46,overcast clouds,99,99,6.85,RU
140,Chernyshevskiy,63.0128,112.4714,4.23,broken clouds,99,68,2.86,RU
141,Aden,12.7794,45.0367,81.07,broken clouds,70,78,12.41,YE
142,Ermelo,-26.5333,29.9833,52.83,light rain,94,100,11.05,ZA
143,Colotlan,22.1,-103.2667,70.92,clear sky,29,2,7.47,MX
144,Seoul,37.5683,126.9778,56.64,mist,97,20,3.44,KR
145,Olafsvik,64.8945,-23.7142,44.46,light rain,88,92,11.79,IS
146,Uyuni,-20.4597,-66.825,58.17,clear sky,8,0,20.6,BO
147,Mataura,-46.1927,168.8643,44.55,few clouds,99,20,2.53,NZ
148,Bintulu,3.1667,113.0333,77.41,thunderstorm with rain,94,40,0.0,MY
149,Airai,-8.9266,125.4092,62.26,overcast clouds,94,100,1.23,TL
150,Lavrentiya,65.5833,-171.0,16.23,broken clouds,79,82,6.4,RU
151,Budogoshch,59.2816,32.4707,32.61,broken clouds,88,61,5.28,RU
152,Port Lincoln,-34.7333,135.8667,50.43,overcast clouds,66,97,24.02,AU
153,Husavik,66.0449,-17.3389,38.44,light rain,88,78,3.62,IS
154,Sobolevo,54.4299,31.8996,34.52,few clouds,74,14,11.45,RU
155,College,64.8569,-147.8028,3.9,light snow,84,75,0.0,US
156,Luderitz,-26.6481,15.1594,64.08,scattered clouds,69,31,21.12,NA
157,Mocuba,-16.8392,36.9856,81.88,scattered clouds,60,46,8.77,MZ
158,Broken Hill,-31.95,141.4333,49.28,scattered clouds,62,50,20.94,AU
159,Malur,13.0075,77.9378,71.38,overcast clouds,80,90,5.73,IN
160,Arraial Do Cabo,-22.9661,-42.0278,89.56,few clouds,55,20,12.66,BR
161,Nome,64.5011,-165.4064,12.27,clear sky,85,0,3.44,US
162,Pasvalys,56.0594,24.4036,42.91,few clouds,69,18,5.32,LT
163,Kedrovyy,56.1667,91.8167,12.61,broken clouds,62,71,3.85,RU
164,Talnakh,69.4865,88.3972,21.34,overcast clouds,89,100,14.03,RU
165,Nantucket,41.2835,-70.0995,66.31,scattered clouds,83,40,5.75,US
166,Pauini,-7.7136,-66.9764,94.75,scattered clouds,41,38,3.18,BR
167,Steamboat Springs,40.485,-106.8317,42.3,clear sky,70,0,3.44,US
168,Dukat,62.55,155.55,-14.37,clear sky,99,7,2.04,RU
169,Poya,-21.35,165.15,72.54,scattered clouds,86,32,5.26,NC
170,Sao Filipe,14.8961,-24.4956,81.57,scattered clouds,68,31,5.57,CV
171,Belmonte,-15.8631,-38.8828,80.74,overcast clouds,70,99,10.78,BR
172,Lorengau,-2.0226,147.2712,81.66,clear sky,74,5,7.67,PG
173,Artigas,-30.4,-56.4667,65.43,broken clouds,33,83,21.0,UY
174,Saskylakh,71.9167,114.0833,-0.56,few clouds,92,19,10.38,RU
175,Hithadhoo,-0.6,73.0833,80.83,broken clouds,72,80,4.63,MV
176,Boyuibe,-20.4167,-63.2833,60.85,overcast clouds,32,100,17.34,BO
177,Neiafu,-18.65,-173.9833,74.08,overcast clouds,100,100,0.0,TO
178,Chokurdakh,70.6333,147.9167,-17.54,broken clouds,100,65,4.68,RU
179,Greenville,35.6127,-77.3663,72.12,overcast clouds,74,100,1.99,US
180,Kamariotissa,40.4833,25.4667,68.27,clear sky,70,8,10.31,GR
181,Pontal Do Parana,-25.6533,-48.5128,76.98,moderate rain,96,98,7.87,BR
182,Amapa,1.0,-52.0,97.52,overcast clouds,29,90,6.62,BR
183,Naze,28.3667,129.4833,70.72,light rain,90,100,18.19,JP
184,Zarate,-34.0981,-59.0286,63.14,clear sky,37,4,15.01,AR
185,Constitucion,-35.3333,-72.4167,71.69,clear sky,28,0,14.23,CL
186,Ancud,-41.8697,-73.8203,54.14,clear sky,59,0,6.33,CL
187,Aswan,24.0934,32.907,85.3,clear sky,26,0,6.91,EG
188,San Policarpo,12.1791,125.5072,81.46,overcast clouds,87,100,9.57,PH
189,Talaya,61.3833,152.75,-21.51,broken clouds,92,59,1.25,RU
190,Tibiri,13.5627,7.0485,91.74,clear sky,19,0,9.22,NE
191,Hervey Bay,-25.2986,152.8535,75.52,broken clouds,87,70,22.7,AU
